'Developing chemical sensors for aquatic ecosystems','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/50.html','Eric Bakker  ','2018-1-29','Chemistry','None',,,,
'N型高分子半导体与全高分子太阳能电池','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/49.html','刘俊教授 中国科学院长春应用化学研究所研究员 高分子物理与化学国家重点实验室副主任  ','2018-1-5','Chemistry','None',,,,
'Big science in a small capillary – a rewarding journey along capillary electrophoresis','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/48.html','陈大勇 大千人  ','2017-12-15','Chemistry','None',,,,
'化学中的催化，我的有机化学之路','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/47.html','钟国富 长江  ','2017-12-13','Chemistry','None',,,,
'Anatase TiO2 Activated by Group IB Metal Nanoparticles for Selective Hydrodeoxygenation of Lignin Fragments','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/46.html','张宗超  ','2017-11-24','Chemistry','None',,,,
'低配位铁钴配合物化学','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/45.html','邓亮  ','2017-11-10','Chemistry','None',,,,
'Biology-driven Synthesis of Natural Products','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/44.html','Schmalz  ','2017-10-6','Chemistry','一科515',,,,
'单细胞电化学分析','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/43.html','江德臣  ','2017-9-22','Chemistry','一教302',,,,
'The role of heterogeneous catalysis in biomass conversion','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/41.html','Prof. Bert F. Sels                     ','2017-9-18','Chemistry','一科515',,,,
'Zeolite synthesis and processes for bioplastics production and efficient hydrocarbon conversions (BEA,AEI,GME,AFI)','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/42.html','Dr. Michiel Dusselier  ','2017-9-18','Chemistry','一科515',
'磁性颗粒形貌调控、组装及其应用','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/27.html','何乐  ','2017-5-18','Chemistry','南方科技大学第一教学楼110教室',,,,
'Turning a cheap,poor catalyst into a cheap,excellent catalyst. Optimizing layered MnO-based materials for water oxidation using experiment and theory.','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/40.html','Prof. Michael J. Zdilla   ','2017-5-18','Chemistry','南方科技大学第一教学楼110教室',,
'Cooperative Metal Catalysis for Efficient Organic Synthesis','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/38.html','Prof. Yoshiaki Nakao  ','2017-5-4','Chemistry','南方科技大学第一教学楼110教室',,,,
'二维黑磷的制备与应用','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/39.html','喻学锋  ','2017-5-4','Chemistry','南方科技大学第一科研楼515',,,,
'Complex Natural Product as a Driving Force for Discoveries in Organic Synthesis and Chemical Biology','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/36.html','雷晓光  ','2017-4-26','Chemistry','南方科技大学第一教学楼110教室',,,,
'Exploring energy and biomedical challenges with functionalized silicon nanoparticles','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/37.html','Dr. Yimin Chao   ','2017-4-14','Chemistry','南方科技大学第一科研楼515',,,,
'Redox Processes and Design Strategies for High-Energy-Density Energy Storage','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/35.html','Prof. Yi-Chun Lu  ','2017-4-13','Chemistry','南方科技大学第一教学楼110教室',,,,
'Ladderphanes-A New Kind of Duplex Polymers ','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/34.html','Professor  Tien-Yau  LUH  ','2017-4-6','Chemistry','南方科技大学第一教学楼110教室',,,,
'天然产物全合成：策略与方法','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/32.html','高栓虎  ','2017-3-30','Chemistry','南方科技大学行政楼401会议室',,,,
'低维磁分子固体的构筑与性能调控','http://chem.sustc.edu.cn/index.php/dynamic/details/tid/33.html','童明良  ','2017-3-30','Chemistry','南方科技大学第一教学楼110教室',,,,
