'超快单像素光谱分析及成像','https://eee.sustc.edu.cn/?p=3647&cc=7','王超','2019-04-04','EE','台州楼 202-2室',,,,
'远程超高清立体实时演播监控系统','https://eee.sustc.edu.cn/?p=3644&cc=7','丁守谦  李进良','2019-04-04','EE','第一教学楼 501室',,,,
'飞秒激光产生、测量及超快成像应用','https://eee.sustc.edu.cn/?p=3641&cc=7','徐世祥','2019-03-27','EE','第一教学楼 303议室',,,,
'Light driven smart micro robotics','https://eee.sustc.edu.cn/?p=3480&cc=7','Dr. Hao Zeng','2018-10-26','EE','台州楼 202-2会议室',,,,
'Interfacial Optics: Manipulating the Light at Interface','https://eee.sustc.edu.cn/?p=3483&cc=7','None','2018-10-25','EE','南山智园A7栋 1113会议室',,,,
'高效率纯有机电致发光材料与器件','https://eee.sustc.edu.cn/?p=3371&cc=7','苏仕健','2018-05-18','EE','第二科研楼 503会议室',,,,
'Ambient intelligence: adaptivity by using artificial intelligence,machine learning,and biometrics in worldwide cloud-based environments','https://eee.sustc.edu.cn/?p=3368&cc=7','Vincenzo Piuri','2018-05-18','EE','第二科研楼 503会议室',,
'Paradigm Shifts in MMIC,RFIC and System-in-Package Design','https://eee.sustc.edu.cn/?p=3351&cc=7','林福江','2018-05-14','EE','第二科研楼 503会议室',,,
'Novel Modulation and Multiple Access Methods for 5G','https://eee.sustc.edu.cn/?p=3348&cc=7','Andreas F. Molisch','2018-05-14','EE','南山智园A7栋 1113会议室',,,,
'激光加工技术，下一代智能制造的利器','https://eee.sustc.edu.cn/?p=3345&cc=7','王浟','2018-05-14','EE','第一教学楼 401室',,,,
'面向高性能计算的奇点光束复用光通信','https://eee.sustc.edu.cn/?p=3342&cc=7','雷霆','2018-05-14','EE','第二科研楼 503会议室',,,,
'Bandpass Frequency Selective Surface based on Cascaded Ground Apertured Patch Resonators','https://eee.sustc.edu.cn/?p=3339&cc=7','金城','2018-05-14','EE','南山智园A7栋 1113会议室',,,,
'High-Quality Colloidal Photonic Crystals: Fabrication and Sensing Applications','https://eee.sustc.edu.cn/?p=3332&cc=7','蔡仲雨','2018-05-07','EE','第二科研楼 503会议室',,,,
'超宽禁带氧化镓半导体外延及器件应用','https://eee.sustc.edu.cn/?p=3329&cc=7','叶建东','2018-05-07','EE','第二科研楼 503会议室',,,,
'Want Higher Research Impact – Be a Better Communicator','https://eee.sustc.edu.cn/?p=3320&cc=7','M. Jamal Deen','2018-05-02','EE','第二科研楼 503会议室',,,,
'基于贵金属纳米结构SERS特性的超灵敏肿瘤标志物检测与癌症早期诊断技术','https://eee.sustc.edu.cn/?p=3317&cc=7','周骏','2018-05-02','EE','第二科研楼 503会议室',,,,
'基于时间反演的光学扫描成像技术的研究进展','https://eee.sustc.edu.cn/?p=3314&cc=7','欧海燕','2018-05-02','EE','第二科研楼 503会议室',,,,
'光纤生物传感研究','https://eee.sustc.edu.cn/?p=3311&cc=7','郎婷婷','2018-05-02','EE','第二科研楼 503会议室',,,,
'从多任务处理到硬件实现嵌入式系统','https://eee.sustc.edu.cn/?p=3308&cc=7','韦孟宇','2018-05-02','EE','第二科研楼 503会议室',,,,
'Memory Device for Analog Neuromorphic Computing','https://eee.sustc.edu.cn/?p=3305&cc=7','王中锐','2018-05-02','EE','第二科研楼 503会议室',,,,
'Manipulating and harnessing surface plasmon polaritons with structured surfaces','https://eee.sustc.edu.cn/?p=3302&cc=7','杜路平','2018-04-24','EE','第二科研楼 503会议室',,,,
'Application of Solution Process Organic Semiconductors  in Printable Solar Photovoltaic Devices','https://eee.sustc.edu.cn/?p=3297&cc=7','Gang Li','2018-04-22','EE','第二科研楼 503会议室',,,,
'數字光學與其應用領域介紹','https://eee.sustc.edu.cn/?p=3294&cc=7','邱俊榮','2018-04-21','EE','一教  204房间',,,,
'太赫兹固态电子技术新进展及趋势','https://eee.sustc.edu.cn/?p=3291&cc=7','王俊龙','2018-04-18','EE','南山智园A7栋 1113会议室',,,,
'Impact of Photonics R and D on Broadband Telecom Evolution','https://eee.sustc.edu.cn/?p=3288&cc=7','None','2018-04-17','EE','第二科研楼 503会议室',,,,
'MicroLED diplays based on Si- and Al nanostructured materials','https://eee.sustc.edu.cn/?p=3285&cc=7','Aliaksandr SMIRNOV','2018-04-12','EE','第二科研楼 503会议室',,,,
'Exploring Short-Packet Communications in Non-Orthogonal Multiple Access Systems','https://eee.sustc.edu.cn/?p=3271&cc=7','Nan Yang','2018-04-08','EE','南山智园A7栋 1113会议室',,,,
