'Topic TBA','http://math.sustech.edu.cn/hall/11293.html','江松（北京应用物理与计算数学研究所）','2019-6-14','Math','慧园3栋 415报告厅',
'Topic TBA','http://math.sustech.edu.cn/hall/11319.html','程晋（复旦大学）','2019-5-24','Math','慧园3栋 415报告厅',
'Topic TBA','http://math.sustech.edu.cn/hall/11338.html','辛周平（香港中文大学）','2019-5-17','Math','慧园3栋 415报告厅',
'Topic TBA','http://math.sustech.edu.cn/hall/11321.html','张旭','2019-5-10','Math','慧园3栋 415报告厅',
'Topic TBA','http://math.sustech.edu.cn/hall/11341.html','王筱平（香港科技大学）','2019-4-26','Math','慧园3栋 415报告厅',
'Stable Central Limit Theorems for Super Ornstein-Uhlenbeck Processes','http://math.sustech.edu.cn/hall/11330.html','任艳霞（北京大学）','2019-4-19','Math','慧园3栋 415报告厅',
'Systems of Equations for Internal Waves','http://math.sustech.edu.cn/hall/11281.html','Jerry Bona (UIC)','2019-4-12','Math','慧园3栋 415报告厅',
'Discrete fluxes in gauge theory and their duality','http://math.sustech.edu.cn/hall/11340.html','吴思晔（台湾清华大学）','2019-3-29','Math','慧园3栋 415报告厅',
'Direct Sampling Methods for Inverse Problems in an optimization framework','http://math.sustech.edu.cn/hall/11318.html','邹军（香港中文大学）','2019-3-15','Math','慧园3栋 415报告厅',
'From Projection and Contraction methods for Variational Inequalities to Splitting Contraction Methods for Convex Optimization','http://math.sustech.edu.cn/hall/11301.html','何炳生（南科大）','2019-3-1','Math','慧园3栋 415报告厅',
'【Math Department Invited Talk】Multidimentional Gelfand-Levitan-Krein-Marchenko Equations and Big Data ','http://math.sustech.edu.cn/hall/11300.html','Sergey Kabanikhin','2019-2-26','Math','慧园3栋 415报告厅',
'Differential Geometric Approach, Lyapunov Analysis and Passivity: How are they Connected to Nonlinear Adaptive Control with Application to DC Microgrid?','http://math.sustech.edu.cn/hall/11201.html','Wei Lin（凯斯西储大学&哈工大）','2019-1-10','Math','慧园3栋 518报告厅',
'How well can we hear the shape of a drum by computer algorithms?','http://math.sustech.edu.cn/hall/11223.html','Zhimin Zhang（北京计算科学中心）','2019-1-7','Math','慧园3栋 415报告厅',
'中国大气污染的科学度量和标准','http://math.sustech.edu.cn/hall/11219.html','陈松蹊（北京大学光华管理学院）','2018-12-27','Math','慧园3栋 415报告厅',
'Intrinsic Riemannian Functional Data Analysis','http://math.sustech.edu.cn/hall/11131.html','姚方（多伦多大学）','2018-12-21','Math','慧园3栋 415报告厅',
'Statistical Analysis of Parametric and Semiparametric Hidden Markov Models','http://math.sustech.edu.cn/hall/11133.html','宋心远（香港中文大学）','2018-12-21','Math','慧园3栋 415报告厅',
